Scenario ID,User,Assistant - Extended,Assistant - Short,Assistant - Details,Threat ID,Description of the classification?,Vulnerability ID,Reasoning,Assistant - Risk occurrence type
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M5,Trojan Horse Attack,V7,Untested software applications,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M5,Trojan Horse Attack,V23,Unauthorized software applications,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M6,Computer virus attack,V3,Uncontrolled changes to the application software,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M6,Computer virus attack,V7,Untested software applications,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M6,Computer virus attack,V23,Unauthorized software applications,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M7,Logic bombs,V3,Uncontrolled changes to the application software,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M7,Logic bombs,V7,Untested software applications,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M7,Logic bombs,V23,Unauthorized software applications,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M10,Covert storage channel,V3,Uncontrolled changes to the application software,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M10,Covert storage channel,V7,Untested software applications,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M10,Covert storage channel,V23,Unauthorized software applications,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M11,Covert timing channel,V3,Uncontrolled changes to the application software,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M11,Covert timing channel,V7,Untested software applications,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M11,Covert timing channel,V23,Unauthorized software applications,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M19,Electromagnetic interference,V19,Changing system hardware configuration,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M20,Service interruption,V7,Untested software applications,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M20,Service interruption,V23,Unauthorized software applications,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M22,Hidden access doors,V2,Uncontrolled changes to the operating system,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M22,Hidden access doors,V3,Uncontrolled changes to the application software,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M22,Hidden access doors,V7,Untested software applications,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M23,Unconditional access procedure,V2,Uncontrolled changes to the operating system,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M23,Unconditional access procedure,V3,Uncontrolled changes to the application software,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M23,Unconditional access procedure,V7,Untested software applications,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M26,Unnoticed data theft,V7,Untested software applications,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M26,Unnoticed data theft,V23,Unauthorized software applications,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M27,Violation of login procedures,V2,Uncontrolled changes to the operating system,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M27,Violation of login procedures,V3,Uncontrolled changes to the application software,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M27,Violation of login procedures,V7,Untested software applications,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M27,Violation of login procedures,V23,Unauthorized software applications,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M28,Network worm,V3,Uncontrolled changes to the application software,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M28,Network worm,V7,Untested software applications,Real
S31,There is no log of changes made to the system,The described scenario presents at least one security threat.,Yes,It is not possible to control the changes made to the system,M28,Network worm,V23,Unauthorized software applications,Real
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M1,Queuing access,V19,Changing system hardware configuration,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M1,Queuing access,V22,Changing system software configuration,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M4,Asynchronous attack,V3,Uncontrolled changes to the application software,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M4,Asynchronous attack,V7,Untested software applications,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M4,Asynchronous attack,V23,Unauthorized software applications,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M5,Trojan Horse Attack,V7,Untested software applications,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M5,Trojan Horse Attack,V23,Unauthorized software applications,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M6,Computer virus attack,V3,Uncontrolled changes to the application software,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M6,Computer virus attack,V7,Untested software applications,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M6,Computer virus attack,V23,Unauthorized software applications,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M7,Logic bombs,V3,Uncontrolled changes to the application software,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M7,Logic bombs,V7,Untested software applications,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M7,Logic bombs,V23,Unauthorized software applications,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M10,Covert storage channel,V3,Uncontrolled changes to the application software,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M10,Covert storage channel,V7,Untested software applications,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M10,Covert storage channel,V23,Unauthorized software applications,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M11,Covert timing channel,V3,Uncontrolled changes to the application software,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M11,Covert timing channel,V7,Untested software applications,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M11,Covert timing channel,V23,Unauthorized software applications,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M19,Electromagnetic interference,V19,Changing system hardware configuration,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M20,Service interruption,V7,Untested software applications,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M20,Service interruption,V23,Unauthorized software applications,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M22,Hidden access doors,V2,Uncontrolled changes to the operating system,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M22,Hidden access doors,V3,Uncontrolled changes to the application software,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M22,Hidden access doors,V7,Untested software applications,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M23,Unconditional access procedure,V2,Uncontrolled changes to the operating system,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M23,Unconditional access procedure,V3,Uncontrolled changes to the application software,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M23,Unconditional access procedure,V7,Untested software applications,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M26,Unnoticed data theft,V7,Untested software applications,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M26,Unnoticed data theft,V23,Unauthorized software applications,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M27,Violation of login procedures,V2,Uncontrolled changes to the operating system,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M27,Violation of login procedures,V3,Uncontrolled changes to the application software,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M27,Violation of login procedures,V7,Untested software applications,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M27,Violation of login procedures,V23,Unauthorized software applications,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M28,Network worm,V3,Uncontrolled changes to the application software,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M28,Network worm,V7,Untested software applications,Potential
S32,There is a log of changes made to the system,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear how changes made to the system are tracked.,M28,Network worm,V23,Unauthorized software applications,Potential
S34,There is no register for access to restricted areas,The described scenario presents at least one security threat.,Yes,It is not possible to verify who has accessed the restricted areas,M5,Trojan Horse Attack,V14,Inadequate supervision,Real
S34,There is no register for access to restricted areas,The described scenario presents at least one security threat.,Yes,It is not possible to verify who has accessed the restricted areas,M6,Computer virus attack,V14,Inadequate supervision,Real
S34,There is no register for access to restricted areas,The described scenario presents at least one security threat.,Yes,It is not possible to verify who has accessed the restricted areas,M7,Logic bombs,V14,Inadequate supervision,Real
S34,There is no register for access to restricted areas,The described scenario presents at least one security threat.,Yes,It is not possible to verify who has accessed the restricted areas,M14,Accidental error,V14,Inadequate supervision,Real
S34,There is no register for access to restricted areas,The described scenario presents at least one security threat.,Yes,It is not possible to verify who has accessed the restricted areas,M15,Physical theft of media,V32,Inadequate access control to the CED area,Real
S34,There is no register for access to restricted areas,The described scenario presents at least one security threat.,Yes,It is not possible to verify who has accessed the restricted areas,M17,Entering false information,V14,Inadequate supervision,Real
S34,There is no register for access to restricted areas,The described scenario presents at least one security threat.,Yes,It is not possible to verify who has accessed the restricted areas,M20,Service interruption,V14,Inadequate supervision,Real
S34,There is no register for access to restricted areas,The described scenario presents at least one security threat.,Yes,It is not possible to verify who has accessed the restricted areas,M21,Masking,V14,Inadequate supervision,Real
S34,There is no register for access to restricted areas,The described scenario presents at least one security threat.,Yes,It is not possible to verify who has accessed the restricted areas,M25,Sabotage,V32,Inadequate access control to the CED area,Real
S34,There is no register for access to restricted areas,The described scenario presents at least one security threat.,Yes,It is not possible to verify who has accessed the restricted areas,M25,Sabotage,V33,Lack of access control to the CED area,Real
S34,There is no register for access to restricted areas,The described scenario presents at least one security threat.,Yes,It is not possible to verify who has accessed the restricted areas,M25,Sabotage,V14,Inadequate supervision,Real
S34,There is no register for access to restricted areas,The described scenario presents at least one security threat.,Yes,It is not possible to verify who has accessed the restricted areas,M26,Unnoticed data theft,V14,Inadequate supervision,Real
S34,There is no register for access to restricted areas,The described scenario presents at least one security threat.,Yes,It is not possible to verify who has accessed the restricted areas,M28,Network worm,V14,Inadequate supervision,Real
S35,There is a register for access to restricted areas,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear whether the methods of recording access to restricted areas are adequate,M5,Trojan Horse Attack,V14,Inadequate supervision,Potential
S35,There is a register for access to restricted areas,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear whether the methods of recording access to restricted areas are adequate,M6,Computer virus attack,V14,Inadequate supervision,Potential
S35,There is a register for access to restricted areas,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear whether the methods of recording access to restricted areas are adequate,M7,Logic bombs,V14,Inadequate supervision,Potential
S35,There is a register for access to restricted areas,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear whether the methods of recording access to restricted areas are adequate,M14,Accidental error,V14,Inadequate supervision,Potential
S35,There is a register for access to restricted areas,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear whether the methods of recording access to restricted areas are adequate,M15,Physical theft of media,V32,Inadequate access control to the CED area,Potential
S35,There is a register for access to restricted areas,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear whether the methods of recording access to restricted areas are adequate,M17,Entering false information,V14,Inadequate supervision,Potential
S35,There is a register for access to restricted areas,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear whether the methods of recording access to restricted areas are adequate,M20,Service interruption,V14,Inadequate supervision,Potential
S35,There is a register for access to restricted areas,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear whether the methods of recording access to restricted areas are adequate,M21,Masking,V14,Inadequate supervision,Potential
S35,There is a register for access to restricted areas,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear whether the methods of recording access to restricted areas are adequate,M25,Sabotage,V32,Inadequate access control to the CED area,Potential
S35,There is a register for access to restricted areas,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear whether the methods of recording access to restricted areas are adequate,M25,Sabotage,V33,Lack of access control to the CED area,Potential
S35,There is a register for access to restricted areas,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear whether the methods of recording access to restricted areas are adequate,M25,Sabotage,V14,Inadequate supervision,Potential
S35,There is a register for access to restricted areas,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear whether the methods of recording access to restricted areas are adequate,M26,Unnoticed data theft,V14,Inadequate supervision,Potential
S35,There is a register for access to restricted areas,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not clear whether the methods of recording access to restricted areas are adequate,M28,Network worm,V14,Inadequate supervision,Potential
S37,"The computers are installed in ""open space"" offices also open to the public",The described scenario presents at least one security threat.,Yes,Anyone can have direct access to the stations,M5,Trojan Horse Attack,V14,Inadequate supervision,Real
S37,"The computers are installed in ""open space"" offices also open to the public",The described scenario presents at least one security threat.,Yes,Anyone can have direct access to the stations,M6,Computer virus attack,V14,Inadequate supervision,Real
S37,"The computers are installed in ""open space"" offices also open to the public",The described scenario presents at least one security threat.,Yes,Anyone can have direct access to the stations,M7,Logic bombs,V14,Inadequate supervision,Real
S37,"The computers are installed in ""open space"" offices also open to the public",The described scenario presents at least one security threat.,Yes,Anyone can have direct access to the stations,M14,Accidental error,V14,Inadequate supervision,Real
S37,"The computers are installed in ""open space"" offices also open to the public",The described scenario presents at least one security threat.,Yes,Anyone can have direct access to the stations,M17,Entering false information,V14,Inadequate supervision,Real
S37,"The computers are installed in ""open space"" offices also open to the public",The described scenario presents at least one security threat.,Yes,Anyone can have direct access to the stations,M20,Service interruption,V14,Inadequate supervision,Real
S37,"The computers are installed in ""open space"" offices also open to the public",The described scenario presents at least one security threat.,Yes,Anyone can have direct access to the stations,M21,Masking,V14,Inadequate supervision,Real
S37,"The computers are installed in ""open space"" offices also open to the public",The described scenario presents at least one security threat.,Yes,Anyone can have direct access to the stations,M21,Masking,V25,Insufficient information surveillance,Real
S37,"The computers are installed in ""open space"" offices also open to the public",The described scenario presents at least one security threat.,Yes,Anyone can have direct access to the stations,M25,Sabotage,V14,Inadequate supervision,Real
S37,"The computers are installed in ""open space"" offices also open to the public",The described scenario presents at least one security threat.,Yes,Anyone can have direct access to the stations,M26,Unnoticed data theft,V25,Insufficient information surveillance,Real
S37,"The computers are installed in ""open space"" offices also open to the public",The described scenario presents at least one security threat.,Yes,Anyone can have direct access to the stations,M26,Unnoticed data theft,V14,Inadequate supervision,Real
S37,"The computers are installed in ""open space"" offices also open to the public",The described scenario presents at least one security threat.,Yes,Anyone can have direct access to the stations,M28,Network worm,V14,Inadequate supervision,Real
S38,The computers are installed in locked offices,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is unclear whether access to the workstations is properly supervised.,M5,Trojan Horse Attack,V14,Inadequate supervision,Potential
S38,The computers are installed in locked offices,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is unclear whether access to the workstations is properly supervised.,M6,Computer virus attack,V14,Inadequate supervision,Potential
S38,The computers are installed in locked offices,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is unclear whether access to the workstations is properly supervised.,M7,Logic bombs,V14,Inadequate supervision,Potential
S38,The computers are installed in locked offices,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is unclear whether access to the workstations is properly supervised.,M14,Accidental error,V14,Inadequate supervision,Potential
S38,The computers are installed in locked offices,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is unclear whether access to the workstations is properly supervised.,M17,Entering false information,V14,Inadequate supervision,Potential
S38,The computers are installed in locked offices,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is unclear whether access to the workstations is properly supervised.,M20,Service interruption,V14,Inadequate supervision,Potential
S38,The computers are installed in locked offices,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is unclear whether access to the workstations is properly supervised.,M21,Masking,V14,Inadequate supervision,Potential
S38,The computers are installed in locked offices,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is unclear whether access to the workstations is properly supervised.,M21,Masking,V25,Insufficient information surveillance,Potential
S38,The computers are installed in locked offices,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is unclear whether access to the workstations is properly supervised.,M25,Sabotage,V14,Inadequate supervision,Potential
S38,The computers are installed in locked offices,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is unclear whether access to the workstations is properly supervised.,M26,Unnoticed data theft,V25,Insufficient information surveillance,Potential
S38,The computers are installed in locked offices,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is unclear whether access to the workstations is properly supervised.,M26,Unnoticed data theft,V14,Inadequate supervision,Potential
S38,The computers are installed in locked offices,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is unclear whether access to the workstations is properly supervised.,M28,Network worm,V14,Inadequate supervision,Potential
S40,No data backups are made,The described scenario presents at least one security threat.,Yes,There are no data backups in case of emergencies,M3,Flooding,V12,Untested emergency procedures,Real
S40,No data backups are made,The described scenario presents at least one security threat.,Yes,There are no data backups in case of emergencies,M8,Lightning strike,V12,Untested emergency procedures,Real
S40,No data backups are made,The described scenario presents at least one security threat.,Yes,There are no data backups in case of emergencies,M13,Destruction of the CED area,V12,Untested emergency procedures,Real
S40,No data backups are made,The described scenario presents at least one security threat.,Yes,There are no data backups in case of emergencies,M16,Fire,V12,Untested emergency procedures,Real
S40,No data backups are made,The described scenario presents at least one security threat.,Yes,There are no data backups in case of emergencies,M25,Sabotage,V13,Lack of emergency procedures,Real
S41,Periodic data backups are performed,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to evaluate whether the backup procedures adopted are adequate,M3,Flooding,V12,Untested emergency procedures,Potential
S41,Periodic data backups are performed,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to evaluate whether the backup procedures adopted are adequate,M8,Lightning strike,V12,Untested emergency procedures,Potential
S41,Periodic data backups are performed,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to evaluate whether the backup procedures adopted are adequate,M13,Destruction of the CED area,V12,Untested emergency procedures,Potential
S41,Periodic data backups are performed,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to evaluate whether the backup procedures adopted are adequate,M16,Fire,V12,Untested emergency procedures,Potential
S41,Periodic data backups are performed,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to evaluate whether the backup procedures adopted are adequate,M25,Sabotage,V13,Lack of emergency procedures,Potential
S43,Anyone can connect any external drive to the system or their work computer,The described scenario presents at least one security threat.,Yes,There is no control over external storage media,M5,Trojan Horse Attack,V14,Inadequate supervision,Real
S43,Anyone can connect any external drive to the system or their work computer,The described scenario presents at least one security threat.,Yes,There is no control over external storage media,M6,Computer virus attack,V14,Inadequate supervision,Real
S43,Anyone can connect any external drive to the system or their work computer,The described scenario presents at least one security threat.,Yes,There is no control over external storage media,M7,Logic bombs,V14,Inadequate supervision,Real
S43,Anyone can connect any external drive to the system or their work computer,The described scenario presents at least one security threat.,Yes,There is no control over external storage media,M12,Accidental damage to media,V18,Improper manipulation of mass storage devices,Real
S43,Anyone can connect any external drive to the system or their work computer,The described scenario presents at least one security threat.,Yes,There is no control over external storage media,M14,Accidental error,V14,Inadequate supervision,Real
S43,Anyone can connect any external drive to the system or their work computer,The described scenario presents at least one security threat.,Yes,There is no control over external storage media,M17,Entering false information,V14,Inadequate supervision,Real
S43,Anyone can connect any external drive to the system or their work computer,The described scenario presents at least one security threat.,Yes,There is no control over external storage media,M20,Service interruption,V14,Inadequate supervision,Real
S43,Anyone can connect any external drive to the system or their work computer,The described scenario presents at least one security threat.,Yes,There is no control over external storage media,M21,Masking,V14,Inadequate supervision,Real
S43,Anyone can connect any external drive to the system or their work computer,The described scenario presents at least one security threat.,Yes,There is no control over external storage media,M21,Masking,V17,Misuse of information by end users,Real
S43,Anyone can connect any external drive to the system or their work computer,The described scenario presents at least one security threat.,Yes,There is no control over external storage media,M25,Sabotage,V14,Inadequate supervision,Real
S43,Anyone can connect any external drive to the system or their work computer,The described scenario presents at least one security threat.,Yes,There is no control over external storage media,M26,Unnoticed data theft,V14,Inadequate supervision,Real
S43,Anyone can connect any external drive to the system or their work computer,The described scenario presents at least one security threat.,Yes,There is no control over external storage media,M26,Unnoticed data theft,V17,Misuse of information by end users,Real
S43,Anyone can connect any external drive to the system or their work computer,The described scenario presents at least one security threat.,Yes,There is no control over external storage media,M28,Network worm,V14,Inadequate supervision,Real
S44,Is there any control over external drives connected to the system or your work computer?,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,The ways in which external storage media are controlled are not detailed enough,M5,Trojan Horse Attack,V14,Inadequate supervision,Potential
S44,Is there any control over external drives connected to the system or your work computer?,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,The ways in which external storage media are controlled are not detailed enough,M6,Computer virus attack,V14,Inadequate supervision,Potential
S44,Is there any control over external drives connected to the system or your work computer?,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,The ways in which external storage media are controlled are not detailed enough,M7,Logic bombs,V14,Inadequate supervision,Potential
S44,Is there any control over external drives connected to the system or your work computer?,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,The ways in which external storage media are controlled are not detailed enough,M12,Accidental damage to media,V18,Improper manipulation of mass storage devices,Potential
S44,Is there any control over external drives connected to the system or your work computer?,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,The ways in which external storage media are controlled are not detailed enough,M14,Accidental error,V14,Inadequate supervision,Potential
S44,Is there any control over external drives connected to the system or your work computer?,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,The ways in which external storage media are controlled are not detailed enough,M17,Entering false information,V14,Inadequate supervision,Potential
S44,Is there any control over external drives connected to the system or your work computer?,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,The ways in which external storage media are controlled are not detailed enough,M20,Service interruption,V14,Inadequate supervision,Potential
S44,Is there any control over external drives connected to the system or your work computer?,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,The ways in which external storage media are controlled are not detailed enough,M21,Masking,V14,Inadequate supervision,Potential
S44,Is there any control over external drives connected to the system or your work computer?,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,The ways in which external storage media are controlled are not detailed enough,M21,Masking,V17,Misuse of information by end users,Potential
S44,Is there any control over external drives connected to the system or your work computer?,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,The ways in which external storage media are controlled are not detailed enough,M25,Sabotage,V14,Inadequate supervision,Potential
S44,Is there any control over external drives connected to the system or your work computer?,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,The ways in which external storage media are controlled are not detailed enough,M26,Unnoticed data theft,V14,Inadequate supervision,Potential
S44,Is there any control over external drives connected to the system or your work computer?,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,The ways in which external storage media are controlled are not detailed enough,M26,Unnoticed data theft,V17,Misuse of information by end users,Potential
S44,Is there any control over external drives connected to the system or your work computer?,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,The ways in which external storage media are controlled are not detailed enough,M28,Network worm,V14,Inadequate supervision,Potential
S46,There are no lightning protection measures,The described scenario presents at least one security threat.,Yes,The system is vulnerable to lightning strikes,M8,Lightning strike,V34,System not protected from lightning,Real
S47,There are measures to protect against lightning,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to assess the suitability of the measures applied,M8,Lightning strike,V34,System not protected from lightning,Potential
S49,Computers handle highly classified data but no TEMPEST protection measures are in place,The described scenario presents at least one security threat.,Yes,It is possible to intercept data through the electromagnetic emissions of the system,M19,Electromagnetic interference,V30,Electromagnetic emanations,Real
S50,The computers handle highly classified data and TEMPEST protection measures are in place,The scenario is not sufficiently characterized to perform a preliminary analysis.,More,It is not possible to assess the adequacy of the measures for protection from electromagnetic emissions,M19,Electromagnetic interference,V30,Electromagnetic emanations,Potential
